b_0,b_1,b_2,b_3,theta_00,theta_01,theta_02,theta_03,theta_10,theta_11,theta_12,theta_13,theta_20,theta_21,theta_22,theta_23,theta_30,theta_31,theta_32,theta_33,sigma_sqrd_00,sigma_sqrd_01,sigma_sqrd_02,sigma_sqrd_03,sigma_sqrd_10,sigma_sqrd_11,sigma_sqrd_12,sigma_sqrd_13,sigma_sqrd_20,sigma_sqrd_21,sigma_sqrd_22,sigma_sqrd_23,sigma_sqrd_30,sigma_sqrd_31,sigma_sqrd_32,sigma_sqrd_33
-0.0310462585898765,0.9391505668921498,2.11092800631729,3.0116134707772244,0.390030330704783,0.19528270364392508,0.2090036950545387,0.19819077145647934,0.19528270364392508,0.5164853523546576,0.3093147027677578,0.3025352534832056,0.2090036950545387,0.3093147027677578,0.5819802998127179,0.38854498113556857,0.19819077145647934,0.3025352534832056,0.38854498113556857,0.6709749316245989,1.0165420190605285,0.0,0.0,0.0,0.0,0.06457393576233374,0.0,0.0,0.0,0.0,0.9868283362005348,-0.0,0.0,0.0,-0.0,0.2279095478097587
0.013843319804410661,1.037677144687239,1.9844020160207252,2.921503879719657,0.40464228783981426,0.19157062443368886,0.19703939645586727,0.1915536494354501,0.19157062443368886,0.5178598570552059,0.3002537988055628,0.2985109265645134,0.19703939645586727,0.3002537988055628,0.5993023123990084,0.3867810180946294,0.1915536494354501,0.2985109265645134,0.3867810180946294,0.679825998571266,1.0156169952268954,0.0,0.0,0.0,0.0,0.06518604721745172,0.0,0.0,0.0,0.0,0.984049508961253,-0.0,0.0,0.0,-0.0,0.22925851377176315
0.02533037778386951,1.0912961502954315,2.0021323004681406,2.8223991952818936,0.4430291486011586,0.206323345018997,0.21787102755184576,0.21390409253730214,0.206323345018997,0.5082707719758344,0.3069111427240724,0.3043663817510682,0.21787102755184576,0.3069111427240724,0.6036073490784231,0.4149466153784518,0.21390409253730214,0.3043663817510682,0.4149466153784518,0.6743658998237757,1.0148193864954653,0.0,0.0,0.0,0.0,0.06470568122727374,0.0,0.0,0.0,0.0,0.9933518917774099,-0.0,0.0,0.0,-0.0,0.22812227230807877
0.004656393698780067,1.0133195985050802,2.1487712080950305,2.8095309378525064,0.38640531561624153,0.20045793277136392,0.18839074618734475,0.19161599458323675,0.20045793277136392,0.5275983208658136,0.30756207448926376,0.3094421076332158,0.18839074618734475,0.30756207448926376,0.5977700037852822,0.411253346330525,0.19161599458323675,0.3094421076332158,0.411253346330525,0.6918091584852987,1.0105639066855254,0.0,0.0,0.0,0.0,0.0646145666726686,0.0,0.0,0.0,0.0,0.9957544957062971,-0.0,0.0,0.0,-0.0,0.23019776078017712
0.08963606115061504,1.1363177438925005,2.2262255947122513,2.476585982075217,0.41747832907101945,0.205335220582905,0.20440233781226091,0.1913311519342397,0.205335220582905,0.5191911329898992,0.30456706598686856,0.30196042429270326,0.20440233781226091,0.30456706598686856,0.5951281195340292,0.405498986170748,0.1913311519342397,0.30196042429270326,0.405498986170748,0.6898367844230056,1.0116974740191447,0.0,0.0,0.0,0.0,0.06484443638651106,0.0,0.0,0.0,0.0,0.9903305538198419,-0.0,0.0,0.0,-0.0,0.22989839487014047
-0.04232213519160474,0.9539923495318534,2.1054470054517753,3.0106800654425,0.37789073825390057,0.2051813662367084,0.21183291522524444,0.20137393810334317,0.2051813662367084,0.5079272578367202,0.3056822085703547,0.31212032417995905,0.21183291522524444,0.3056822085703547,0.6167241999998868,0.39667481257121556,0.20137393810334317,0.31212032417995905,0.39667481257121556,0.6571602815897085,1.011038563461278,0.0,0.0,0.0,0.0,0.06520620879403423,0.0,0.0,0.0,0.0,0.9843011142929073,-0.0,0.0,0.0,-0.0,0.2307152331267236
-0.01565385281086653,0.9346298698190867,2.340597640209539,2.7836197988071683,0.3808901127554687,0.19587792126304432,0.2006062103763962,0.188996478893889,0.19587792126304432,0.5234131042729517,0.304756486620546,0.3042015870676782,0.2006062103763962,0.304756486620546,0.5934467866358833,0.3791955632925554,0.188996478893889,0.3042015870676782,0.3791955632925554,0.6918391359130417,1.0148212910204502,0.0,0.0,0.0,0.0,0.06443045431191917,0.0,0.0,0.0,0.0,0.9918085182236692,-0.0,0.0,0.0,-0.0,0.22992320027625446
0.0014674244525000122,1.0261396067934532,2.254378548585407,2.7009511921547738,0.4331820130147147,0.19226231396460422,0.1927119925477271,0.1885133327711138,0.19226231396460422,0.49011256207981196,0.28981227682887634,0.30127368883242284,0.1927119925477271,0.28981227682887634,0.5919726659340634,0.3825565995490717,0.1885133327711138,0.30127368883242284,0.3825565995490717,0.664193594439368,1.0194002931790649,0.0,0.0,0.0,0.0,0.06490013519489353,0.0,0.0,0.0,0.0,0.9857240477279489,0.0,0.0,0.0,0.0,0.22903185892430186
-0.02807013560157737,0.9716255141431941,1.8601412101086738,3.217428832380713,0.40975596179144796,0.19508859260472572,0.1944175901415865,0.19199239111979594,0.19508859260472572,0.4844433652709251,0.2861678034857986,0.28828401375268137,0.1944175901415865,0.2861678034857986,0.5910367689751764,0.4048031862158088,0.19199239111979594,0.28828401375268137,0.4048031862158088,0.7293172020740883,1.0232566507262897,0.0,0.0,0.0,0.0,0.06472259928515095,0.0,0.0,0.0,0.0,0.9829944249461673,-0.0,0.0,0.0,-0.0,0.22847258874466247
0.022627093403948247,1.0487150977838837,1.6971065690965037,3.213010663243799,0.3746531743072255,0.20245898163807804,0.19990773735280504,0.19398544096943934,0.20245898163807804,0.5042827967510316,0.30352754659896364,0.3069709216437669,0.19990773735280504,0.30352754659896364,0.5818314730938325,0.39398529697978946,0.19398544096943934,0.3069709216437669,0.39398529697978946,0.6912660053931085,1.0127747556731184,0.0,0.0,0.0,0.0,0.06521887207698766,0.0,0.0,0.0,0.0,0.997214377656075,-0.0,0.0,0.0,-0.0,0.23072849743376694
